Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      9.53     0.00      160     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      9.53     0.00      160     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      9.53     0.00      160     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      9.53     0.00      134     0.00     0.00  is_percolating(std::vector<long, std::allocator<long> > const&, long)
  0.00      9.53     0.00      121     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      9.53     0.00      120     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      9.53     0.00       82     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      9.53     0.00       82     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      9.53     0.00       82     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      9.53     0.00       81     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      9.53     0.00       81     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      9.53     0.00       81     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      9.53     0.00       81     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      9.53     0.00       81     0.00     0.00  std::allocator<double>::allocator()
  0.00      9.53     0.00       81     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      9.53     0.00       81     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      9.53     0.00       81     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      9.53     0.00       81     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      9.53     0.00       81     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      9.53     0.00       81     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      9.53     0.00       81     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      9.53     0.00       81     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      9.53     0.00       81     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      9.53     0.00       81     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      9.53     0.00       81     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      9.53     0.00       80     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00      9.53     0.00       80     0.00     0.00  std::initializer_list<double>::begin() const
  0.00      9.53     0.00       80     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      9.53     0.00       80     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      9.53     0.00       80     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double const&)
  0.00      9.53     0.00       80     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator*()
  0.00      9.53     0.00       80     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++()
  0.00      9.53     0.00       80     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00      9.53     0.00       80     0.00     0.00  double const* std::__miter_base<double const*>(double const*)
  0.00      9.53     0.00       80     0.00     0.00  double const* std::__niter_base<double const*>(double const*)
  0.00      9.53     0.00       80     0.00     0.00  std::iterator_traits<double const*>::iterator_category std::__iterator_category<double const*>(double const* const&)
  0.00      9.53     0.00       80     0.00     0.00  operator new(unsigned long, void*)
  0.00      9.53     0.00       44     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
